src_id,dst_id,type,weight
17175,4930,CITES,10
17175,8088,CITES,5
17175,8196,CITES,1
17175,8365,CITES,10
17175,10365,CITES,8
17175,10518,CITES,9
17175,11247,CITES,8
17175,11755,CITES,4
17175,12108,CITES,9
17175,14125,CITES,8
17175,16366,CITES,2
12108,5819,CITES,9
12108,7786,CITES,4
12108,10365,CITES,5
12108,10518,CITES,2
12108,11246,CITES,1
12108,11247,CITES,1
12108,11377,CITES,1
10365,4896,CITES,7
10365,4899,CITES,7
10365,7745,CITES,6
10365,8009,CITES,9
10365,8196,CITES,5
10518,8088,CITES,9
10518,8196,CITES,5
10518,10365,CITES,4
11755,4999,CITES,10
11755,7662,CITES,4
11755,7681,CITES,1
11755,7801,CITES,1
11755,8134,CITES,5
11755,9095,CITES,7
11755,11135,CITES,1
14125,4930,CITES,4
14125,11755,CITES,6
14125,12582,CITES,7
8365,5819,CITES,1
11247,4780,CITES,9
11247,4977,CITES,10
11247,6555,CITES,8
11247,7076,CITES,1
11247,7095,CITES,7
11247,7336,CITES,5
11247,8088,CITES,10
11247,8196,CITES,4
11247,8789,CITES,8
11247,9670,CITES,6
11247,10243,CITES,10
11247,11072,CITES,1
16366,4930,CITES,5
16366,7801,CITES,5
16366,10089,CITES,8
16366,11025,CITES,10
16366,11755,CITES,1
16366,14125,CITES,6
16366,14142,CITES,9
16366,14321,CITES,4
16366,14554,CITES,1
3538,254,CITES,5
3538,1887,CITES,8
3538,2427,CITES,1
3538,2453,CITES,3
3538,3498,CITES,8
3538,6332,CITES,9
3538,7601,CITES,10
3538,9368,CITES,1
3538,10589,CITES,3
3538,13436,CITES,8
3538,13623,CITES,7
3538,17769,CITES,5
254,13436,CITES,6
254,15561,CITES,2
254,16179,CITES,4
254,17490,CITES,1
254,17965,CITES,1
7601,4723,CITES,6
7601,4813,CITES,1
7601,4823,CITES,2
7601,4830,CITES,10
7601,5102,CITES,9
7601,5167,CITES,6
7601,6656,CITES,8
7601,7076,CITES,6
2453,51,CITES,5
2453,136,CITES,8
2453,279,CITES,4
2453,477,CITES,9
2453,483,CITES,9
2453,572,CITES,1
2453,595,CITES,9
2453,628,CITES,5
2453,792,CITES,3
2453,803,CITES,8
2453,851,CITES,5
2453,897,CITES,1
2453,957,CITES,7
2453,961,CITES,3
2453,985,CITES,9
2453,1036,CITES,3
2453,1093,CITES,9
2453,1151,CITES,6
2453,1154,CITES,1
2453,1156,CITES,8
2453,1161,CITES,3
2453,1236,CITES,6
2453,1256,CITES,6
2453,1270,CITES,4
2453,1278,CITES,3
2453,1322,CITES,1
2453,1326,CITES,6
2453,1382,CITES,3
2453,1686,CITES,9
2453,1731,CITES,6
2453,1819,CITES,2
2453,1842,CITES,6
2453,1870,CITES,6
2453,1887,CITES,1
2453,1971,CITES,2
2453,2001,CITES,4
2453,2063,CITES,6
2453,2094,CITES,3
2453,2153,CITES,5
2453,2231,CITES,8
2453,2330,CITES,2
2453,2405,CITES,2
2453,2427,CITES,8
2453,4823,CITES,9
2453,4830,CITES,9
2453,5167,CITES,8
2453,5644,CITES,6
2453,6413,CITES,1
2453,7006,CITES,6
2453,7353,CITES,2
2453,8806,CITES,4
2453,9368,CITES,10
2453,10524,CITES,2
2453,10576,CITES,9
2453,11963,CITES,5
2453,12204,CITES,2
2453,12289,CITES,9
2453,12660,CITES,1
